"number";"pattern";"group_4";"group_3";"group_2";"group_1";"odd_even";"big_small"
"0140";"ABCA";"0***";"*1**";"**4*";"***0";"EOEE";"SSSS"
"0141";"ABCB";"0***";"*1**";"**4*";"***1";"EOEO";"SSSS"
"0142";"ABCD";"0***";"*1**";"**4*";"***2";"EOEE";"SSSS"
"0143";"ABCD";"0***";"*1**";"**4*";"***3";"EOEO";"SSSS"
"0144";"ABCC";"0***";"*1**";"**4*";"***4";"EOEE";"SSSS"
"0145";"ABCD";"0***";"*1**";"**4*";"***5";"EOEO";"SSSB"
"0146";"ABCD";"0***";"*1**";"**4*";"***6";"EOEE";"SSSB"
"0147";"ABCD";"0***";"*1**";"**4*";"***7";"EOEO";"SSSB"
"0148";"ABCD";"0***";"*1**";"**4*";"***8";"EOEE";"SSSB"
"0149";"ABCD";"0***";"*1**";"**4*";"***9";"EOEO";"SSSB"
"0150";"ABCA";"0***";"*1**";"**5*";"***0";"EOOE";"SSBS"
"0151";"ABCB";"0***";"*1**";"**5*";"***1";"EOOO";"SSBS"
"0152";"ABCD";"0***";"*1**";"**5*";"***2";"EOOE";"SSBS"
"0153";"ABCD";"0***";"*1**";"**5*";"***3";"EOOO";"SSBS"
"0154";"ABCD";"0***";"*1**";"**5*";"***4";"EOOE";"SSBS"
"0155";"ABCC";"0***";"*1**";"**5*";"***5";"EOOO";"SSBB"
"0156";"ABCD";"0***";"*1**";"**5*";"***6";"EOOE";"SSBB"
"0157";"ABCD";"0***";"*1**";"**5*";"***7";"EOOO";"SSBB"
"0158";"ABCD";"0***";"*1**";"**5*";"***8";"EOOE";"SSBB"
"0159";"ABCD";"0***";"*1**";"**5*";"***9";"EOOO";"SSBB"
"0160";"ABCA";"0***";"*1**";"**6*";"***0";"EOEE";"SSBS"
"0161";"ABCB";"0***";"*1**";"**6*";"***1";"EOEO";"SSBS"
"0162";"ABCD";"0***";"*1**";"**6*";"***2";"EOEE";"SSBS"
"0163";"ABCD";"0***";"*1**";"**6*";"***3";"EOEO";"SSBS"
"0164";"ABCD";"0***";"*1**";"**6*";"***4";"EOEE";"SSBS"
"0165";"ABCD";"0***";"*1**";"**6*";"***5";"EOEO";"SSBB"
"0166";"ABCC";"0***";"*1**";"**6*";"***6";"EOEE";"SSBB"
"0167";"ABCD";"0***";"*1**";"**6*";"***7";"EOEO";"SSBB"
"0168";"ABCD";"0***";"*1**";"**6*";"***8";"EOEE";"SSBB"
"0169";"ABCD";"0***";"*1**";"**6*";"***9";"EOEO";"SSBB"
"0170";"ABCA";"0***";"*1**";"**7*";"***0";"EOOE";"SSBS"
"0171";"ABCB";"0***";"*1**";"**7*";"***1";"EOOO";"SSBS"
"0172";"ABCD";"0***";"*1**";"**7*";"***2";"EOOE";"SSBS"
"0173";"ABCD";"0***";"*1**";"**7*";"***3";"EOOO";"SSBS"
"0174";"ABCD";"0***";"*1**";"**7*";"***4";"EOOE";"SSBS"
"0175";"ABCD";"0***";"*1**";"**7*";"***5";"EOOO";"SSBB"
"0176";"ABCD";"0***";"*1**";"**7*";"***6";"EOOE";"SSBB"
"0177";"ABCC";"0***";"*1**";"**7*";"***7";"EOOO";"SSBB"
"0178";"ABCD";"0***";"*1**";"**7*";"***8";"EOOE";"SSBB"
"0179";"ABCD";"0***";"*1**";"**7*";"***9";"EOOO";"SSBB"
"0180";"ABCA";"0***";"*1**";"**8*";"***0";"EOEE";"SSBS"
"0181";"ABCB";"0***";"*1**";"**8*";"***1";"EOEO";"SSBS"
"0182";"ABCD";"0***";"*1**";"**8*";"***2";"EOEE";"SSBS"
"0183";"ABCD";"0***";"*1**";"**8*";"***3";"EOEO";"SSBS"
"0184";"ABCD";"0***";"*1**";"**8*";"***4";"EOEE";"SSBS"
"0185";"ABCD";"0***";"*1**";"**8*";"***5";"EOEO";"SSBB"
"0186";"ABCD";"0***";"*1**";"**8*";"***6";"EOEE";"SSBB"
"0187";"ABCD";"0***";"*1**";"**8*";"***7";"EOEO";"SSBB"
"0188";"ABCC";"0***";"*1**";"**8*";"***8";"EOEE";"SSBB"
"0189";"ABCD";"0***";"*1**";"**8*";"***9";"EOEO";"SSBB"
"0190";"ABCA";"0***";"*1**";"**9*";"***0";"EOOE";"SSBS"
"0191";"ABCB";"0***";"*1**";"**9*";"***1";"EOOO";"SSBS"
"0192";"ABCD";"0***";"*1**";"**9*";"***2";"EOOE";"SSBS"
"0193";"ABCD";"0***";"*1**";"**9*";"***3";"EOOO";"SSBS"
"0194";"ABCD";"0***";"*1**";"**9*";"***4";"EOOE";"SSBS"
"0195";"ABCD";"0***";"*1**";"**9*";"***5";"EOOO";"SSBB"
"0196";"ABCD";"0***";"*1**";"**9*";"***6";"EOOE";"SSBB"
"0197";"ABCD";"0***";"*1**";"**9*";"***7";"EOOO";"SSBB"
"0198";"ABCD";"0***";"*1**";"**9*";"***8";"EOOE";"SSBB"
"0199";"ABCC";"0***";"*1**";"**9*";"***9";"EOOO";"SSBB"
"0200";"ABAA";"0***";"*2**";"**0*";"***0";"EEEE";"SSSS"
"0201";"ABAC";"0***";"*2**";"**0*";"***1";"EEEO";"SSSS"
"0202";"ABAB";"0***";"*2**";"**0*";"***2";"EEEE";"SSSS"
"0203";"ABAC";"0***";"*2**";"**0*";"***3";"EEEO";"SSSS"
"0204";"ABAC";"0***";"*2**";"**0*";"***4";"EEEE";"SSSS"
"0205";"ABAC";"0***";"*2**";"**0*";"***5";"EEEO";"SSSB"
"0206";"ABAC";"0***";"*2**";"**0*";"***6";"EEEE";"SSSB"
"0207";"ABAC";"0***";"*2**";"**0*";"***7";"EEEO";"SSSB"
"0208";"ABAC";"0***";"*2**";"**0*";"***8";"EEEE";"SSSB"
"0209";"ABAC";"0***";"*2**";"**0*";"***9";"EEEO";"SSSB"
"0210";"ABCA";"0***";"*2**";"**1*";"***0";"EEOE";"SSSS"
"0211";"ABCC";"0***";"*2**";"**1*";"***1";"EEOO";"SSSS"
"0212";"ABCB";"0***";"*2**";"**1*";"***2";"EEOE";"SSSS"
"0213";"ABCD";"0***";"*2**";"**1*";"***3";"EEOO";"SSSS"
"0214";"ABCD";"0***";"*2**";"**1*";"***4";"EEOE";"SSSS"
"0215";"ABCD";"0***";"*2**";"**1*";"***5";"EEOO";"SSSB"
"0216";"ABCD";"0***";"*2**";"**1*";"***6";"EEOE";"SSSB"
"0217";"ABCD";"0***";"*2**";"**1*";"***7";"EEOO";"SSSB"
"0218";"ABCD";"0***";"*2**";"**1*";"***8";"EEOE";"SSSB"
"0219";"ABCD";"0***";"*2**";"**1*";"***9";"EEOO";"SSSB"
"0220";"ABBA";"0***";"*2**";"**2*";"***0";"EEEE";"SSSS"
"0221";"ABBC";"0***";"*2**";"**2*";"***1";"EEEO";"SSSS"
"0222";"ABBB";"0***";"*2**";"**2*";"***2";"EEEE";"SSSS"
"0223";"ABBC";"0***";"*2**";"**2*";"***3";"EEEO";"SSSS"
"0224";"ABBC";"0***";"*2**";"**2*";"***4";"EEEE";"SSSS"
"0225";"ABBC";"0***";"*2**";"**2*";"***5";"EEEO";"SSSB"
"0226";"ABBC";"0***";"*2**";"**2*";"***6";"EEEE";"SSSB"
"0227";"ABBC";"0***";"*2**";"**2*";"***7";"EEEO";"SSSB"
"0228";"ABBC";"0***";"*2**";"**2*";"***8";"EEEE";"SSSB"
"0229";"ABBC";"0***";"*2**";"**2*";"***9";"EEEO";"SSSB"
"0230";"ABCA";"0***";"*2**";"**3*";"***0";"EEOE";"SSSS"
"0231";"ABCD";"0***";"*2**";"**3*";"***1";"EEOO";"SSSS"
"0232";"ABCB";"0***";"*2**";"**3*";"***2";"EEOE";"SSSS"
"0233";"ABCC";"0***";"*2**";"**3*";"***3";"EEOO";"SSSS"
"0234";"ABCD";"0***";"*2**";"**3*";"***4";"EEOE";"SSSS"
"0235";"ABCD";"0***";"*2**";"**3*";"***5";"EEOO";"SSSB"
"0236";"ABCD";"0***";"*2**";"**3*";"***6";"EEOE";"SSSB"
"0237";"ABCD";"0***";"*2**";"**3*";"***7";"EEOO";"SSSB"
"0238";"ABCD";"0***";"*2**";"**3*";"***8";"EEOE";"SSSB"
"0239";"ABCD";"0***";"*2**";"**3*";"***9";"EEOO";"SSSB"
"0240";"ABCA";"0***";"*2**";"**4*";"***0";"EEEE";"SSSS"
"0241";"ABCD";"0***";"*2**";"**4*";"***1";"EEEO";"SSSS"
"0242";"ABCB";"0***";"*2**";"**4*";"***2";"EEEE";"SSSS"
"0243";"ABCD";"0***";"*2**";"**4*";"***3";"EEEO";"SSSS"
"0244";"ABCC";"0***";"*2**";"**4*";"***4";"EEEE";"SSSS"
"0245";"ABCD";"0***";"*2**";"**4*";"***5";"EEEO";"SSSB"
"0246";"ABCD";"0***";"*2**";"**4*";"***6";"EEEE";"SSSB"
"0247";"ABCD";"0***";"*2**";"**4*";"***7";"EEEO";"SSSB"
"0248";"ABCD";"0***";"*2**";"**4*";"***8";"EEEE";"SSSB"
"0249";"ABCD";"0***";"*2**";"**4*";"***9";"EEEO";"SSSB"
"0250";"ABCA";"0***";"*2**";"**5*";"***0";"EEOE";"SSBS"
"0251";"ABCD";"0***";"*2**";"**5*";"***1";"EEOO";"SSBS"
"0252";"ABCB";"0***";"*2**";"**5*";"***2";"EEOE";"SSBS"
"0253";"ABCD";"0***";"*2**";"**5*";"***3";"EEOO";"SSBS"
"0254";"ABCD";"0***";"*2**";"**5*";"***4";"EEOE";"SSBS"
"0255";"ABCC";"0***";"*2**";"**5*";"***5";"EEOO";"SSBB"
