"draw_date";"company_code";"number";"category";"position"
"2018-01-10";"MAG";"9688";"SCD";2
"2018-01-10";"MAG";"4628";"TRD";3
"2018-01-10";"MAG";"6620";"SP";1
"2018-01-10";"MAG";"6585";"SP";2
"2018-01-10";"MAG";"----";"SP";3
"2018-01-10";"MAG";"7675";"SP";4
"2018-01-10";"MAG";"6985";"SP";5
"2018-01-10";"MAG";"1173";"SP";6
"2018-01-10";"MAG";"2569";"SP";7
"2018-01-10";"MAG";"1777";"SP";8
"2018-01-10";"MAG";"1977";"SP";9
"2018-01-10";"MAG";"----";"SP";10
"2018-01-10";"MAG";"7857";"SP";11
"2018-01-10";"MAG";"1271";"SP";12
"2018-01-10";"MAG";"----";"SP";13
"2018-01-10";"MAG";"1790";"CONS";1
"2018-01-10";"MAG";"0124";"CONS";2
"2018-01-10";"MAG";"8424";"CONS";3
"2018-01-10";"MAG";"7845";"CONS";4
"2018-01-10";"MAG";"6035";"CONS";5
"2018-01-10";"MAG";"7378";"CONS";6
"2018-01-10";"MAG";"4818";"CONS";7
"2018-01-10";"MAG";"3399";"CONS";8
"2018-01-10";"MAG";"7046";"CONS";9
"2018-01-10";"MAG";"5187";"CONS";10
"2018-01-10";"ST";"1167";"FST";1
"2018-01-10";"ST";"8815";"SCD";2
"2018-01-10";"ST";"5105";"TRD";3
"2018-01-10";"ST";"----";"SP";1
"2018-01-10";"ST";"7197";"SP";2
"2018-01-10";"ST";"3719";"SP";3
"2018-01-10";"ST";"7857";"SP";4
"2018-01-10";"ST";"7725";"SP";5
"2018-01-10";"ST";"4543";"SP";6
"2018-01-10";"ST";"4277";"SP";7
"2018-01-10";"ST";"----";"SP";8
"2018-01-10";"ST";"6082";"SP";9
"2018-01-10";"ST";"2150";"SP";10
"2018-01-10";"ST";"2512";"SP";11
"2018-01-10";"ST";"5225";"SP";12
"2018-01-10";"ST";"----";"SP";13
"2018-01-10";"ST";"5059";"CONS";1
"2018-01-10";"ST";"5654";"CONS";2
"2018-01-10";"ST";"2611";"CONS";3
"2018-01-10";"ST";"3907";"CONS";4
"2018-01-10";"ST";"2679";"CONS";5
"2018-01-10";"ST";"5081";"CONS";6
"2018-01-10";"ST";"6579";"CONS";7
"2018-01-10";"ST";"9876";"CONS";8
"2018-01-10";"ST";"3782";"CONS";9
"2018-01-10";"ST";"0654";"CONS";10
"2018-01-13";"DMC";"5372";"FST";1
"2018-01-13";"DMC";"0761";"SCD";2
"2018-01-13";"DMC";"6603";"TRD";3
"2018-01-13";"DMC";"8682";"SP";1
"2018-01-13";"DMC";"4290";"SP";2
"2018-01-13";"DMC";"5354";"SP";3
"2018-01-13";"DMC";"6065";"SP";4
"2018-01-13";"DMC";"7847";"SP";5
"2018-01-13";"DMC";"1822";"SP";6
"2018-01-13";"DMC";"0718";"SP";7
"2018-01-13";"DMC";"2927";"SP";8
"2018-01-13";"DMC";"6480";"SP";9
"2018-01-13";"DMC";"5339";"SP";10
"2018-01-13";"DMC";"2095";"CONS";1
"2018-01-13";"DMC";"7334";"CONS";2
"2018-01-13";"DMC";"9582";"CONS";3
"2018-01-13";"DMC";"5187";"CONS";4
"2018-01-13";"DMC";"1689";"CONS";5
"2018-01-13";"DMC";"6203";"CONS";6
"2018-01-13";"DMC";"8354";"CONS";7
"2018-01-13";"DMC";"0484";"CONS";8
"2018-01-13";"DMC";"1918";"CONS";9
"2018-01-13";"DMC";"6460";"CONS";10
"2018-01-13";"MAG";"0192";"FST";1
"2018-01-13";"MAG";"0720";"SCD";2
"2018-01-13";"MAG";"5987";"TRD";3
"2018-01-13";"MAG";"5987";"SP";1
"2018-01-13";"MAG";"7880";"SP";2
"2018-01-13";"MAG";"0560";"SP";3
"2018-01-13";"MAG";"4671";"SP";4
"2018-01-13";"MAG";"4409";"SP";5
"2018-01-13";"MAG";"1548";"SP";6
"2018-01-13";"MAG";"7406";"SP";7
"2018-01-13";"MAG";"----";"SP";8
"2018-01-13";"MAG";"0255";"SP";9
"2018-01-13";"MAG";"3788";"SP";10
"2018-01-13";"MAG";"----";"SP";11
"2018-01-13";"MAG";"3270";"SP";12
"2018-01-13";"MAG";"----";"SP";13
"2018-01-13";"MAG";"6065";"CONS";1
"2018-01-13";"MAG";"8408";"CONS";2
"2018-01-13";"MAG";"8449";"CONS";3
"2018-01-13";"MAG";"4216";"CONS";4
"2018-01-13";"MAG";"6917";"CONS";5
"2018-01-13";"MAG";"4695";"CONS";6
"2018-01-13";"MAG";"7442";"CONS";7
"2018-01-13";"MAG";"7202";"CONS";8
"2018-01-13";"MAG";"0598";"CONS";9
"2018-01-13";"MAG";"6112";"CONS";10
"2018-01-13";"ST";"8022";"FST";1
"2018-01-13";"ST";"7847";"SCD";2
"2018-01-13";"ST";"4758";"TRD";3
"2018-01-13";"ST";"5842";"SP";1
"2018-01-13";"ST";"----";"SP";2
"2018-01-13";"ST";"2632";"SP";3
"2018-01-13";"ST";"2667";"SP";4
"2018-01-13";"ST";"4096";"SP";5
"2018-01-13";"ST";"----";"SP";6
"2018-01-13";"ST";"9214";"SP";7
"2018-01-13";"ST";"8342";"SP";8
"2018-01-13";"ST";"----";"SP";9
"2018-01-13";"ST";"0228";"SP";10
"2018-01-13";"ST";"2392";"SP";11
"2018-01-13";"ST";"4364";"SP";12
"2018-01-13";"ST";"8249";"SP";13
"2018-01-13";"ST";"0268";"CONS";1
"2018-01-13";"ST";"1393";"CONS";2
"2018-01-13";"ST";"9566";"CONS";3
"2018-01-13";"ST";"2552";"CONS";4
"2018-01-13";"ST";"9670";"CONS";5
"2018-01-13";"ST";"9246";"CONS";6
"2018-01-13";"ST";"5266";"CONS";7
"2018-01-13";"ST";"8254";"CONS";8
"2018-01-13";"ST";"4001";"CONS";9
"2018-01-13";"ST";"4249";"CONS";10
"2018-01-14";"DMC";"4529";"FST";1
"2018-01-14";"DMC";"5340";"SCD";2
"2018-01-14";"DMC";"2586";"TRD";3
"2018-01-14";"DMC";"8705";"SP";1
"2018-01-14";"DMC";"7986";"SP";2
"2018-01-14";"DMC";"6470";"SP";3
"2018-01-14";"DMC";"5025";"SP";4
"2018-01-14";"DMC";"1761";"SP";5
"2018-01-14";"DMC";"6945";"SP";6
"2018-01-14";"DMC";"7572";"SP";7
"2018-01-14";"DMC";"8533";"SP";8
"2018-01-14";"DMC";"8715";"SP";9
"2018-01-14";"DMC";"1811";"SP";10
"2018-01-14";"DMC";"3674";"CONS";1
"2018-01-14";"DMC";"1461";"CONS";2
"2018-01-14";"DMC";"2491";"CONS";3
"2018-01-14";"DMC";"7308";"CONS";4
"2018-01-14";"DMC";"3132";"CONS";5
"2018-01-14";"DMC";"1827";"CONS";6
"2018-01-14";"DMC";"8497";"CONS";7
"2018-01-14";"DMC";"9956";"CONS";8
"2018-01-14";"DMC";"2573";"CONS";9
"2018-01-14";"DMC";"9784";"CONS";10
"2018-01-14";"MAG";"0079";"FST";1
"2018-01-14";"MAG";"8237";"SCD";2
"2018-01-14";"MAG";"5451";"TRD";3
"2018-01-14";"MAG";"6121";"SP";1
"2018-01-14";"MAG";"----";"SP";2
"2018-01-14";"MAG";"7091";"SP";3
"2018-01-14";"MAG";"7883";"SP";4
"2018-01-14";"MAG";"----";"SP";5
"2018-01-14";"MAG";"5233";"SP";6
"2018-01-14";"MAG";"5942";"SP";7
"2018-01-14";"MAG";"3373";"SP";8
"2018-01-14";"MAG";"4831";"SP";9
"2018-01-14";"MAG";"----";"SP";10
"2018-01-14";"MAG";"3641";"SP";11
"2018-01-14";"MAG";"0544";"SP";12
"2018-01-14";"MAG";"2519";"SP";13
